/wat-is-crossfit/	/#crossfit	Uitleg over CrossFit -> de uitgebreide CrossFit-sectie
/de-crossfit-methode/	/#community	"Wat is CrossFit / functional movement" -> "Eén WOD. Elk lichaam."
/is-crossfit-iets-voor-mij/	/#faq	Kop van de nieuwe FAQ is letterlijk dezelfde vraag
/lessen/	/#programmas	Lessenoverzicht -> programmaoverzicht
/lessen/kids-training/	/#crossfit-kids	
/lessen/personal-training/	/#private-coaching	Gaf een 500 op de oude site
/lessen/90-days-challenge/	/#tarieven	Aanbod bestaat niet meer; tarieven is het dichtstbij
/fitness/	/#circuittraining	Lorem ipsum-pagina; circuit is het echte equivalent
/trainers/	/#founder	Lorem ipsum-pagina; geen coachpagina op de nieuwe site
/tarieven/	/#tarieven	
/contact/	/#contact	
/binnenkort-beschikbaar/	/#rooster	Oude nav noemde dit "Rooster"; die is er nu echt
/category/uncategorized/	/	
/feed/	/	
/comments/feed/	/	
